"index","eventid","venueid","catid","dateid","eventname","starttime"
"74","4767","109","9","1832","Ani DiFranco","2008-01-06T19:30:00.000"
"75","5864","111","9","1832","Kenny Wayne Shepherd","2008-01-06T15:00:00.000"
"76","6966","72","9","1832","Gavin DeGraw","2008-01-06T19:00:00.000"
"77","7776","71","9","1832","Billy Joel","2008-01-06T19:30:00.000"
"78","8719","68","9","1832","Hermans Hermits","2008-01-06T14:00:00.000"
"79","1238","248","6","1833","Gypsy","2008-01-07T15:00:00.000"
"80","2304","226","7","1833","The Cherry Orchard","2008-01-07T19:30:00.000"
"81","3786","203","7","1833","Wicked","2008-01-07T14:30:00.000"
"82","5468","33","9","1833","Judas Priest","2008-01-07T19:30:00.000"
"83","5720","103","9","1833","Air Supply","2008-01-07T19:30:00.000"
"84","6091","50","9","1833","Carrie Underwood","2008-01-07T14:00:00.000"
"85","5323","130","9","1833","English Beat","2008-01-07T19:30:00.000"
"86","6179","123","9","1833","Kanye West","2008-01-07T15:00:00.000"
"87","81","306","8","1833","The Birds (Die Vogel)","2008-01-07T14:00:00.000"
"88","1038","224","6","1833","The Little Mermaid","2008-01-07T14:00:00.000"
"89","1904","229","7","1833","Thurgood","2008-01-07T14:00:00.000"
"90","2469","203","7","1833","Passing Strange","2008-01-07T15:00:00.000"
"91","4325","60","9","1833","Allman Brothers Band","2008-01-07T14:00:00.000"
"92","1720","251","6","1834","Mamma Mia!","2008-01-08T14:00:00.000"
"93","2600","248","7","1834","As You Like It","2008-01-08T14:00:00.000"
"94","4968","66","9","1834","KT Tunstall","2008-01-08T14:00:00.000"
"95","6973","130","9","1834","Bloc Party","2008-01-08T19:30:00.000"
"96","7416","38","9","1834","Taylor Swift","2008-01-08T15:00:00.000"
"97","7605","106","9","1834","Steven Curtis Chapman","2008-01-08T19:00:00.000"
"98","202","309","8","1834","Adriana Lecouvreur","2008-01-08T19:30:00.000"
"99","4335","85","9","1834","Dave Koz","2008-01-08T20:00:00.000"
"100","7419","70","9","1834","Chaka Khan","2008-01-08T19:00:00.000"
"101","7463","71","9","1834","Duffy","2008-01-08T15:00:00.000"
"102","1539","260","6","1835","Mamma Mia!","2008-01-09T14:00:00.000"
"103","1548","258","6","1835","Spamalot","2008-01-09T14:30:00.000"
"104","2111","217","7","1835","Rosencrantz and Guildenstern Are Dead","2008-01-09T20:00:00.000"
"105","4316","101","9","1835","Dixie Chicks","2008-01-09T14:00:00.000"
"106","4464","124","9","1835","Greg Kihn Band","2008-01-09T19:00:00.000"
"107","5758","44","9","1835","Nine Inch Nails","2008-01-09T15:00:00.000"
"108","8302","26","9","1835","Insane Clown Posse","2008-01-09T19:00:00.000"
"109","1250","248","6","1835","The Phantom of the Opera","2008-01-09T20:00:00.000"
"110","1796","257","6","1835","Phantom of the Opera","2008-01-09T19:30:00.000"
"111","4552","37","9","1835","Rock The Bayou","2008-01-09T15:00:00.000"
"112","4813","4","9","1835","Mark Knopfler","2008-01-09T19:30:00.000"
"113","6175","112","9","1835","Justin Timberlake","2008-01-09T19:00:00.000"
"114","7492","8","9","1835","James Blunt","2008-01-09T15:00:00.000"
"115","8431","24","9","1835","B.B. King","2008-01-09T19:30:00.000"
"116","251","305","8","1835","Ring Cycle","2008-01-09T20:00:00.000"
"117","3476","222","7","1835","The 39 Steps","2008-01-09T14:30:00.000"
"118","5936","79","9","1835","Neville Brothers","2008-01-09T19:30:00.000"
"119","6348","16","9","1835","Tina Turner","2008-01-09T19:00:00.000"
"120","7944","19","9","1835","DJ Shadow and Cut Chemist","2008-01-09T14:00:00.000"
"121","8359","81","9","1835","Rick Braun","2008-01-09T15:00:00.000"
"122","2602","224","7","1836","The 39 Steps","2008-01-10T15:00:00.000"
"123","3973","54","9","1836","Michael Buble","2008-01-10T20:00:00.000"
"124","4679","104","9","1836","Dropkick Murphys","2008-01-10T19:00:00.000"
"125","5365","40","9","1836","Govt Mule","2008-01-10T19:30:00.000"
"126","6385","24","9","1836","Kenny Wayne Shepherd","2008-01-10T19:00:00.000"
"127","600","209","6","1836","Grease","2008-01-10T14:00:00.000"
"128","2438","229","7","1836","Rhinoceros","2008-01-10T14:00:00.000"
"129","4258","113","9","1836","Ben Harper","2008-01-10T19:30:00.000"
"130","6481","91","9","1836","Bamboozle Left","2008-01-10T14:00:00.000"
"131","5042","60","9","1836","Michael Buble","2008-01-10T19:00:00.000"
"132","5299","126","9","1836","Tesla","2008-01-10T19:00:00.000"
"133","7086","29","9","1836","Joe Satriani","2008-01-10T14:00:00.000"
"134","2904","238","7","1837","Young Frankenstein","2008-01-11T19:30:00.000"
"135","4192","42","9","1837","Gipsy Kings","2008-01-11T14:30:00.000"
"136","5413","34","9","1837","UB40","2008-01-11T15:00:00.000"
"137","2265","245","7","1837","Rosencrantz and Guildenstern Are Dead","2008-01-11T19:30:00.000"
"138","2357","228","7","1837","Othello","2008-01-11T15:00:00.000"
"139","4565","33","9","1837","Chromeo","2008-01-11T20:00:00.000"
"140","4757","32","9","1837","Joe Cocker","2008-01-11T19:00:00.000"
"141","7152","111","9","1837","Celtic Thunder","2008-01-11T14:00:00.000"
"142","8239","83","9","1837","LeAnn Rimes","2008-01-11T19:30:00.000"
"143","56","306","8","1837","L Elisir d Amore","2008-01-11T19:00:00.000"
"144","318","307","8","1837","Simon Boccanegra","2008-01-11T19:00:00.000"
"145","999","217","6","1837","Mamma Mia!","2008-01-11T14:00:00.000"
"146","1069","231","6","1837","Legally Blonde","2008-01-11T19:00:00.000"
"147","5347","62","9","1837","Extreme","2008-01-11T19:00:00.000"
"148","7358","125","9","1837","Burt Bacharach","2008-01-11T14:00:00.000"
"149","1770","257","6","1838","Legally Blonde","2008-01-12T20:00:00.000"
"150","7994","85","9","1838","Rock To Win At the DNC","2008-01-12T19:30:00.000"
"151","609","222","6","1838","State Fair","2008-01-12T14:00:00.000"
"152","4003","25","9","1838","Regina Spektor","2008-01-12T19:00:00.000"
"153","5279","117","9","1838","Teddy Geiger","2008-01-12T19:00:00.000"
"154","7677","63","9","1838","My Morning Jacket","2008-01-12T15:00:00.000"
"155","8723","111","9","1838","Melissa Etheridge","2008-01-12T19:30:00.000"
"156","4139","103","9","1838","Charlie Daniels Band","2008-01-12T19:30:00.000"
"157","5394","61","9","1838","Bad Company","2008-01-12T19:30:00.000"
"158","5619","1","9","1838","Bow Wow","2008-01-12T15:00:00.000"
"159","1901","237","7","1839","Spring Awakening","2008-01-13T14:00:00.000"
"160","3559","237","7","1839","All My Sons","2008-01-13T19:00:00.000"
"161","5328","60","9","1839","John Mellencamp","2008-01-13T19:00:00.000"
"162","8368","12","9","1839","G. Love and Special Sauce","2008-01-13T19:00:00.000"
"163","8486","14","9","1839","Christina Aguilera","2008-01-13T19:30:00.000"
"164","525","218","6","1839","South Pacific","2008-01-13T14:30:00.000"
"165","4244","118","9","1839","Chicago","2008-01-13T19:00:00.000"
"166","4535","109","9","1839","John Prine","2008-01-13T14:00:00.000"
"167","5173","121","9","1839","Michael McDonald","2008-01-13T15:00:00.000"
"168","6490","75","9","1839","Nine Inch Nails","2008-01-13T19:30:00.000"
"169","6714","73","9","1839","Ryan Adams","2008-01-13T15:00:00.000"
"170","8609","47","9","1839","Alicia Keys","2008-01-13T19:30:00.000"
"171","648","241","6","1839","State Fair","2008-01-13T19:00:00.000"
"172","3547","202","7","1839","The Farnsworth Invention","2008-01-13T14:30:00.000"
"173","6253","35","9","1839","Seether","2008-01-13T19:00:00.000"
"174","6997","38","9","1839","Bo Bice","2008-01-13T15:00:00.000"
"175","8232","82","9","1839","Feist","2008-01-13T19:00:00.000"
"176","385","305","8","1840","The Fly","2008-01-14T15:00:00.000"
"177","2376","240","7","1840","Wicked","2008-01-14T20:00:00.000"
"178","2890","230","7","1840","Rhinoceros","2008-01-14T15:00:00.000"
"179","3373","245","7","1840","Othello","2008-01-14T14:30:00.000"
"180","6639","66","9","1840","Tokio Hotel","2008-01-14T15:00:00.000"
"181","8046","65","9","1840","Lollapalooza","2008-01-14T15:00:00.000"
"182","8188","15","9","1840","Projekt Revolution","2008-01-14T15:00:00.000"
"183","8446","4","9","1840","Armando Manzanero","2008-01-14T14:00:00.000"
"184","1836","236","7","1840","Woyzeck","2008-01-14T15:00:00.000"
"185","2213","241","7","1840","Iphigenia","2008-01-14T14:30:00.000"
"186","2634","206","7","1840","Uncle Vanya","2008-01-14T20:00:00.000"
"187","3752","241","7","1840","To Be or Not To Be","2008-01-14T14:00:00.000"
"188","6721","119","9","1840","Neil Diamond","2008-01-14T19:30:00.000"
"189","7428","44","9","1840","Godsmack","2008-01-14T19:00:00.000"
"190","423","303","8","1827","La Damnation de Faust","2008-01-01T19:30:00.000"
"191","2099","211","7","1827","The Bacchae","2008-01-01T19:30:00.000"
"192","6640","38","9","1827","Herbie Hancock","2008-01-01T19:30:00.000"
"193","8621","9","9","1827","Hot Chip","2008-01-01T19:00:00.000"
"194","1376","235","6","1827","The King and I","2008-01-01T14:30:00.000"
"195","7117","106","9","1827","Wallflowers","2008-01-01T14:00:00.000"
"196","7197","95","9","1827","Gretchen Wilson","2008-01-01T19:00:00.000"
"197","1334","208","6","1827","The King and I","2008-01-01T14:30:00.000"
"198","4850","91","9","1827","Zappa Plays Zappa","2008-01-01T14:00:00.000"
"199","5267","47","9","1827","Fab Faux","2008-01-01T19:00:00.000"
"200","6440","71","9","1827","Beck","2008-01-01T19:00:00.000"
"201","7654","38","9","1827","Keith Urban","2008-01-01T19:00:00.000"
"202","7855","78","9","1827","Dierks Bentley","2008-01-01T19:00:00.000"
"203","3979","127","9","1828","Alkaline Trio","2008-01-02T14:30:00.000"
"204","6780","29","9","1828","Joan Baez","2008-01-02T14:00:00.000"
"205","8678","9","9","1828","Paramore","2008-01-02T19:00:00.000"
"206","2509","230","7","1828","Macbeth","2008-01-02T14:00:00.000"
"207","4421","115","9","1828","My Morning Jacket","2008-01-02T14:30:00.000"
"208","6842","25","9","1828","Alkaline Trio","2008-01-02T19:30:00.000"
"209","7503","98","9","1828","Counting Crows and Maroon 5","2008-01-02T19:00:00.000"
"210","1766","253","6","1828","Spamalot","2008-01-02T15:00:00.000"
"211","2286","205","7","1828","The Cherry Orchard","2008-01-02T14:30:00.000"
"212","2727","238","7","1828","Look Back in Anger","2008-01-02T19:00:00.000"
"213","2772","249","7","1828","Young Frankenstein","2008-01-02T14:30:00.000"
"214","3449","203","7","1828","For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf","2008-01-02T14:30:00.000"
"215","3477","249","7","1828","The Caucasian Chalk Circle","2008-01-02T14:30:00.000"
"216","3766","229","7","1828","The Homecoming","2008-01-02T15:00:00.000"
"217","3853","45","9","1828","King Crimson","2008-01-02T19:30:00.000"
"218","5006","19","9","1828","Chaka Khan","2008-01-02T19:00:00.000"
"219","5560","78","9","1828","George Thorogood and the Destroyers","2008-01-02T19:00:00.000"
"220","6873","1","9","1828","Donna Summer","2008-01-02T19:30:00.000"
"221","4373","12","9","1829","Boz Scaggs","2008-01-03T15:00:00.000"
"222","5763","129","9","1829","Missy Higgins","2008-01-03T14:00:00.000"
"223","8663","90","9","1829","Killing Joke","2008-01-03T19:00:00.000"
"224","6475","110","9","1829","DJ Shadow and Cut Chemist","2008-01-03T15:00:00.000"
"225","744","201","6","1829","Jersey Boys","2008-01-03T20:00:00.000"
"226","1191","247","6","1829","Spamalot","2008-01-03T20:00:00.000"
"227","2841","204","7","1829","The Caucasian Chalk Circle","2008-01-03T19:30:00.000"
"228","4053","13","9","1829","Sunday in the Country","2008-01-03T20:00:00.000"
"229","5417","126","9","1829","Charlie Daniels Band","2008-01-03T19:00:00.000"
"230","7381","23","9","1829","LeAnn Rimes","2008-01-03T15:00:00.000"
"231","50","305","8","1830","Simon Boccanegra","2008-01-04T20:00:00.000"
"232","1879","220","7","1830","November","2008-01-04T20:00:00.000"
"233","1902","206","7","1830","The Country Girl","2008-01-04T14:30:00.000"
"234","3351","228","7","1830","The Frogs","2008-01-04T14:00:00.000"
"235","3696","226","7","1830","Iphigenia","2008-01-04T15:00:00.000"
"236","4855","24","9","1830","UB40","2008-01-04T15:00:00.000"
"237","5002","122","9","1830","English Beat","2008-01-04T19:30:00.000"
"238","5494","115","9","1830","John Hiatt","2008-01-04T14:00:00.000"
"239","6270","98","9","1830","Rodrigo y Gabriela","2008-01-04T14:00:00.000"
"240","117","308","8","1830","Il Trovatore","2008-01-04T19:00:00.000"
"241","3035","230","7","1830","The Caretaker","2008-01-04T14:00:00.000"
"242","4394","6","9","1830","Led Zeppelin","2008-01-04T14:30:00.000"
"243","6491","107","9","1830","Counting Crows","2008-01-04T14:00:00.000"
"244","7028","84","9","1830","Counting Crows and Maroon 5","2008-01-04T14:00:00.000"
"245","8526","43","9","1830","Bob Dylan","2008-01-04T19:30:00.000"
"246","4609","5","9","1830","Los Temerarios","2008-01-04T15:00:00.000"
"247","1736","253","6","1831","Spamalot","2008-01-05T19:00:00.000"
"248","1756","257","6","1831","Phantom of the Opera","2008-01-05T19:30:00.000"
"249","2903","235","7","1831","Hamlet","2008-01-05T20:00:00.000"
"250","3792","228","7","1831","To Be or Not To Be","2008-01-05T20:00:00.000"
"251","5028","63","9","1831","Madonna","2008-01-05T19:00:00.000"
"252","7259","98","9","1831","Blues Brothers","2008-01-05T15:00:00.000"
"253","7892","49","9","1831","Bonnie Raitt","2008-01-05T14:00:00.000"
"254","7979","9","9","1831","David Sanborn","2008-01-05T14:00:00.000"
"255","8538","26","9","1831","Hall and Oates","2008-01-05T19:30:00.000"
"256","2623","247","7","1831","A Man For All Seasons","2008-01-05T19:30:00.000"
"257","5856","119","9","1831","Lollapalooza","2008-01-05T14:00:00.000"
"258","7465","106","9","1831","Rick Braun","2008-01-05T19:00:00.000"
"259","1315","244","6","1831","Grease","2008-01-05T19:30:00.000"
"260","4091","29","9","1831","Tom Jones","2008-01-05T14:00:00.000"
"261","4597","42","9","1831","Sound Tribe Sector 9","2008-01-05T19:00:00.000"
"262","204","303","8","1832","Adriana Lecouvreur","2008-01-06T14:30:00.000"
"263","797","233","6","1832","Grease","2008-01-06T19:00:00.000"
"264","1634","251","6","1832","Blue Man Group","2008-01-06T19:00:00.000"
"265","7441","55","9","1832","America","2008-01-06T14:00:00.000"
"266","8083","114","9","1832","George Thorogood","2008-01-06T19:00:00.000"
"267","1812","248","7","1832","A Tale of Two Cities","2008-01-06T20:00:00.000"
"268","3850","23","9","1832","Sara Evans","2008-01-06T20:00:00.000"
"269","4915","69","9","1832","Duran Duran","2008-01-06T19:30:00.000"
"270","5751","68","9","1832","Josh Turner","2008-01-06T19:30:00.000"
"271","8","302","8","1832","The Magic Flute","2008-01-06T20:00:00.000"
"272","92","302","8","1832","Die Walkure","2008-01-06T15:00:00.000"
"273","5056","32","9","1832","My Bloody Valentine","2008-01-06T15:00:00.000"
"274","8138","7","9","1832","Dennis DeYoung","2008-01-06T14:00:00.000"
"275","6941","72","9","1833","Crue Fest","2008-01-07T19:00:00.000"
"276","7627","84","9","1833","Hippiefest","2008-01-07T15:00:00.000"
"277","6648","72","9","1833","Mariah Carey","2008-01-07T14:00:00.000"
"278","7060","95","9","1833","Billy Joel","2008-01-07T14:00:00.000"
"279","7434","62","9","1833","The Jesus and Mary Chain","2008-01-07T19:00:00.000"
"280","4132","84","9","1833","Cowboy Junkies","2008-01-07T19:00:00.000"
"281","4564","100","9","1833","Fleet Foxes","2008-01-07T14:00:00.000"
"282","4837","38","9","1833","Lucinda Williams","2008-01-07T15:00:00.000"
"283","6200","7","9","1833","Motley Crue","2008-01-07T19:00:00.000"
"284","7779","20","9","1833","Sound Tribe Sector 9","2008-01-07T14:00:00.000"
"285","7827","60","9","1833","Great Big Sea","2008-01-07T19:00:00.000"
"286","7914","4","9","1833","Herbie Hancock","2008-01-07T19:00:00.000"
"287","8016","26","9","1833","Widespread Panic","2008-01-07T15:00:00.000"
"288","8325","80","9","1833","Rick Springfield","2008-01-07T19:30:00.000"
"289","178","303","8","1834","Salome","2008-01-08T14:30:00.000"
"290","2823","205","7","1834","A Midsummer Night's Dream","2008-01-08T15:00:00.000"
"291","5069","69","9","1834","Smashing Pumpkins","2008-01-08T19:30:00.000"
"292","6320","123","9","1834","Jimmy Buffett","2008-01-08T14:00:00.000"
"293","6609","53","9","1834","Govt Mule","2008-01-08T19:00:00.000"
"294","17","301","8","1834","La Gioconda","2008-01-08T19:00:00.000"
"295","2589","227","7","1834","The Caucasian Chalk Circle","2008-01-08T20:00:00.000"
"296","3281","222","7","1834","Avenue Q","2008-01-08T14:00:00.000"
"297","5156","64","9","1834","Oliver Dragojevic","2008-01-08T15:00:00.000"
"298","785","222","6","1834","A Catered Affair","2008-01-08T19:30:00.000"
"299","1529","258","6","1834","Mystere Cirque du Soleil","2008-01-08T19:30:00.000"
"300","2557","211","7","1834","The Cherry Orchard","2008-01-08T19:30:00.000"
"301","3127","239","7","1834","Wicked","2008-01-08T15:00:00.000"
"302","4608","90","9","1834","Kool and The Gang","2008-01-08T20:00:00.000"
"303","6994","16","9","1834","Nofx","2008-01-08T19:30:00.000"
"304","7570","119","9","1834","Mars Volta","2008-01-08T14:00:00.000"
"305","529","213","6","1835","Jersey Boys","2008-01-09T19:00:00.000"
"306","3855","60","9","1835","Celine Dion","2008-01-09T15:00:00.000"
"307","4068","46","9","1835","Cowboy Junkies","2008-01-09T19:30:00.000"
"308","5873","70","9","1835","Natasha Bedingfield","2008-01-09T14:00:00.000"
"309","8603","128","9","1835","Fiction Plane","2008-01-09T19:30:00.000"
"310","3971","74","9","1835","Toad The Wet Sprocket","2008-01-09T20:00:00.000"
"311","4794","57","9","1835","Eva Ayllon","2008-01-09T19:30:00.000"
"312","6297","30","9","1835","Vince Gill","2008-01-09T15:00:00.000"
"313","7592","13","9","1835","Billy Idol","2008-01-09T14:00:00.000"
"314","7879","6","9","1835","Burt Bacharach","2008-01-09T19:30:00.000"
"315","4615","81","9","1835","Smokey Robinson","2008-01-09T14:30:00.000"
"316","8197","29","9","1835","Willie Nelson","2008-01-09T19:30:00.000"
"317","1209","223","6","1836","Chicago","2008-01-10T14:00:00.000"
"318","3753","247","7","1836","The 39 Steps","2008-01-10T15:00:00.000"
"319","4410","7","9","1836","Linkin Park","2008-01-10T14:00:00.000"
"320","6152","92","9","1836","Coheed and Cambria","2008-01-10T19:30:00.000"
"321","8724","21","9","1836","Govt Mule","2008-01-10T15:00:00.000"
"322","4648","28","9","1836","Crue Fest","2008-01-10T14:00:00.000"
"323","5338","116","9","1836","Hall and Oates","2008-01-10T19:00:00.000"
"324","6665","125","9","1836","Sweet Honey in the Rock","2008-01-10T19:00:00.000"
"325","1397","222","6","1836","Mamma Mia!","2008-01-10T20:00:00.000"
"326","2605","237","7","1836","Our Town","2008-01-10T19:00:00.000"
"327","5214","128","9","1836","Jesse Lacey","2008-01-10T14:00:00.000"
"328","915","203","6","1837","Dirty Dancing","2008-01-11T19:00:00.000"
"329","1811","248","7","1837","The Glass Menagerie","2008-01-11T14:30:00.000"
"330","3173","227","7","1837","The Farnsworth Invention","2008-01-11T14:00:00.000"
"331","2377","206","7","1837","A Doll's House","2008-01-11T19:00:00.000"
"332","6469","93","9","1837","Trisha Yearwood","2008-01-11T19:00:00.000"
"333","7079","127","9","1837","Tegan and Sara","2008-01-11T14:00:00.000"
"334","674","241","6","1837","High Society","2008-01-11T19:30:00.000"
"335","1547","258","6","1837","Le Reve","2008-01-11T15:00:00.000"
"336","1571","252","6","1837","Phantom of the Opera","2008-01-11T14:00:00.000"
"337","6570","54","9","1837","Tailgate 2008","2008-01-11T19:30:00.000"
"338","7888","88","9","1837","LeAnn Rimes","2008-01-11T14:00:00.000"
"339","7905","63","9","1837","Sara Evans","2008-01-11T14:00:00.000"
"340","8029","88","9","1837","Backstreet Boys","2008-01-11T19:00:00.000"
"341","3617","211","7","1838","For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf","2008-01-12T19:30:00.000"
"342","3625","209","7","1838","Miss Julie","2008-01-12T19:00:00.000"
"343","8445","3","9","1838","Gary Allan","2008-01-12T15:00:00.000"
"344","5896","60","9","1838","Boston","2008-01-12T14:00:00.000"
"345","6746","116","9","1838","ZZ Top","2008-01-12T19:30:00.000"
"346","7235","15","9","1838","Joe Cocker","2008-01-12T14:00:00.000"
"347","804","242","6","1838","Seven Brides for Seven Brothers","2008-01-12T20:00:00.000"
"348","1779","255","6","1838","Folies Bergere","2008-01-12T20:00:00.000"
"349","2924","213","7","1838","A Man For All Seasons","2008-01-12T14:00:00.000"
"350","5955","25","9","1839","Teena Marie","2008-01-13T19:30:00.000"
"351","7483","47","9","1839","Sara Bareilles","2008-01-13T15:00:00.000"
"352","8051","47","9","1839","Kanye West","2008-01-13T14:00:00.000"
"353","8791","117","9","1839","Teena Marie","2008-01-13T15:00:00.000"
"354","2834","212","7","1839","August: Osage County","2008-01-13T19:30:00.000"
"355","2959","235","7","1839","The Homecoming","2008-01-13T20:00:00.000"
"356","5246","76","9","1839","Killing Joke","2008-01-13T19:00:00.000"
"357","7145","66","9","1839","Cowboy Junkies","2008-01-13T14:00:00.000"
"358","7374","98","9","1839","The Police","2008-01-13T19:00:00.000"
"359","7802","67","9","1839","Joshua Radin","2008-01-13T19:30:00.000"
"360","8746","105","9","1839","David Byrne","2008-01-13T19:00:00.000"
"361","497","304","8","1839","The Fly","2008-01-13T19:30:00.000"
"362","688","209","6","1839","Grease","2008-01-13T14:30:00.000"
"363","1952","240","7","1839","The Country Girl","2008-01-13T15:00:00.000"
"364","3210","242","7","1839","As You Like It","2008-01-13T19:00:00.000"
"365","1726","263","6","1840","Folies Bergere","2008-01-14T14:00:00.000"
"366","4839","25","9","1840","Backstreet Boys","2008-01-14T19:00:00.000"
"367","8308","96","9","1840","Ween","2008-01-14T19:00:00.000"
"368","1970","214","7","1840","The Caretaker","2008-01-14T15:00:00.000"
"369","2907","209","7","1840","Look Back in Anger","2008-01-14T19:00:00.000"
"370","3339","217","7","1840","Thurgood","2008-01-14T19:30:00.000"
"371","4476","28","9","1840","Temptations","2008-01-14T19:00:00.000"
"372","5966","48","9","1840","Rick Springfield","2008-01-14T19:00:00.000"
"373","6545","53","9","1840","Trace Adkins","2008-01-14T19:00:00.000"
