"index","salesid","listid","sellerid","buyerid","eventid","dateid","qtysold","pricepaid","commission","saletime"
"144","20412","22131","30270","1447","5347","1832","2","176","26.4","2008-01-06T09:19:32.000"
"145","133596","154352","27884","3129","4679","1832","1","167","25.05","2008-01-06T09:36:31.000"
"146","23411","25561","31871","4481","6653","1832","1","20","3","2008-01-06T04:59:38.000"
"147","140792","162791","19252","619","4385","1832","1","288","43.2","2008-01-06T01:59:54.000"
"148","27969","30509","27490","4977","5724","1832","1","291","43.65","2008-01-06T08:32:08.000"
"149","33793","37382","2683","2045","6152","1832","3","78","11.7","2008-01-06T10:26:47.000"
"150","42410","47551","31771","4764","5106","1832","1","32","4.8","2008-01-06T08:11:18.000"
"151","48527","54847","24107","2723","7987","1832","2","360","54","2008-01-06T05:47:47.000"
"152","65831","74679","43304","242","3023","1832","2","504","75.6","2008-01-06T06:36:15.000"
"153","70806","80508","44378","3157","4347","1832","1","81","12.15","2008-01-06T09:40:04.000"
"154","81924","93416","26362","4062","1935","1832","4","1416","212.4","2008-01-06T03:40:09.000"
"155","82190","93725","38615","842","5696","1832","2","846","126.9","2008-01-06T08:54:02.000"
"156","100370","114762","26473","868","6639","1832","1","147","22.05","2008-01-06T11:41:08.000"
"157","100661","115102","49615","55","4875","1832","4","1012","151.8","2008-01-06T06:28:19.000"
"158","112210","128555","36781","4853","7886","1832","1","321","48.15","2008-01-06T11:38:18.000"
"159","33095","36572","30047","660","2903","1827","2","234","35.1","2008-01-01T09:41:06.000"
"160","88268","100813","45818","698","8649","1827","4","836","125.4","2008-01-01T07:26:20.000"
"161","150314","173969","48680","816","8762","1827","2","688","103.2","2008-01-01T03:50:02.000"
"162","110917","127048","37631","116","1749","1827","1","337","50.55","2008-01-01T07:05:02.000"
"163","157751","206999","3003","157","6605","1827","1","1730","259.5","2008-01-01T12:50:55.000"
"164","1924","2067","27144","256","6977","1828","2","494","74.1","2008-01-02T01:11:16.000"
"165","53757","60663","92","129","4107","1828","1","491","73.65","2008-01-02T08:54:44.000"
"166","8325","8942","23600","1078","2557","1828","5","525","78.75","2008-01-02T05:27:54.000"
"167","59309","67136","11656","1294","5465","1828","1","152","22.8","2008-01-02T02:28:01.000"
"168","46807","52711","34388","1047","2046","1828","2","482","72.3","2008-01-02T08:37:45.000"
"169","59310","67136","11656","1156","5465","1828","2","304","45.6","2008-01-02T02:28:02.000"
"170","54278","61225","6805","190","958","1828","4","332","49.8","2008-01-02T06:23:59.000"
"171","110805","126927","39347","1514","6442","1828","1","409","61.35","2008-01-02T12:26:31.000"
"172","63837","72335","25536","700","4003","1828","1","224","33.6","2008-01-02T05:20:03.000"
"173","121535","139133","28983","1551","5346","1828","1","417","62.55","2008-01-02T06:21:05.000"
"174","68413","77733","7199","1169","1611","1828","2","158","23.7","2008-01-02T08:12:04.000"
"175","137882","159269","17471","1398","1281","1828","3","1473","220.95","2008-01-02T05:18:55.000"
"176","84206","96065","45532","1417","5607","1828","1","433","64.95","2008-01-02T12:23:10.000"
"177","1134","1176","37614","301","5414","1828","1","218","32.7","2008-01-02T08:22:32.000"
"178","88269","100813","45818","1552","8649","1828","2","418","62.7","2008-01-02T07:26:27.000"
"179","40331","45102","13005","1091","1756","1828","2","58","8.7","2008-01-02T05:57:53.000"
"180","110918","127048","37631","1359","1749","1828","3","1011","151.65","2008-01-02T07:17:40.000"
"181","40741","45570","18692","226","4650","1828","3","90","13.5","2008-01-02T01:40:59.000"
"182","112103","128434","33619","1242","1673","1828","1","241","36.15","2008-01-02T03:15:00.000"
"183","96274","109925","22409","194","1764","1828","1","104","15.6","2008-01-02T07:18:11.000"
"184","125181","143351","30412","260","4124","1828","1","469","70.35","2008-01-02T03:12:50.000"
"185","150499","174195","15135","283","1104","1828","3","135","20.25","2008-01-02T07:20:51.000"
"186","154263","178596","26873","184","3474","1828","2","744","111.6","2008-01-02T07:47:50.000"
"187","2697","2904","10412","814","3228","1829","4","464","69.6","2008-01-03T06:23:46.000"
"188","28468","31077","10514","1708","529","1829","1","305","45.75","2008-01-03T05:42:16.000"
"189","50716","57227","19760","1955","3752","1829","4","688","103.2","2008-01-03T10:57:47.000"
"190","72726","82945","30807","168","5529","1829","4","1340","201","2008-01-03T10:52:11.000"
"191","54280","61225","6805","905","958","1829","2","166","24.9","2008-01-03T06:33:19.000"
"192","73185","83503","45940","1950","7469","1829","2","64","9.6","2008-01-03T11:09:31.000"
"193","64753","73401","49110","1766","4791","1829","2","200","30","2008-01-03T05:55:00.000"
"194","83868","95646","47047","710","5668","1829","2","114","17.1","2008-01-03T05:32:25.000"
"195","102366","117123","10875","1353","8321","1829","2","182","27.3","2008-01-03T12:47:50.000"
"196","136198","157312","28154","1838","2121","1829","2","414","62.1","2008-01-03T09:55:58.000"
"197","116056","132890","16074","2135","2038","1829","1","405","60.75","2008-01-03T04:19:35.000"
"198","13621","14752","39605","1779","1808","1829","1","233","34.95","2008-01-03T04:06:19.000"
"199","156909","205357","23739","185","2260","1829","1","1904","285.6","2008-01-03T09:30:24.000"
"200","29544","32389","3995","183","363","1829","3","159","23.85","2008-01-03T02:52:50.000"
"201","37242","41486","46201","1500","6782","1829","2","448","67.2","2008-01-03T05:40:16.000"
"202","39625","44216","9332","1707","4476","1829","1","115","17.25","2008-01-03T04:21:34.000"
"203","84281","96154","51","152","6286","1829","1","498","74.7","2008-01-03T01:55:35.000"
"204","94768","108195","45159","666","4068","1829","1","246","36.9","2008-01-03T11:30:26.000"
"205","106321","121675","4552","390","3620","1829","1","414","62.1","2008-01-03T02:43:11.000"
"206","141032","163092","27031","2450","3496","1829","2","832","124.8","2008-01-03T06:28:04.000"
"207","12118","13091","21688","820","6807","1830","2","54","8.1","2008-01-04T05:42:09.000"
"208","64813","73462","28832","562","4107","1830","1","392","58.8","2008-01-04T05:57:00.000"
"209","23090","25150","12505","398","2432","1830","1","154","23.1","2008-01-04T11:09:05.000"
"210","75431","86131","32849","697","3625","1830","2","976","146.4","2008-01-04T12:33:43.000"
"211","56221","63456","6375","2223","8603","1830","2","642","96.3","2008-01-04T10:37:01.000"
"212","77738","88775","28045","574","2874","1830","2","674","101.1","2008-01-04T06:23:43.000"
"213","80000","91371","25591","1887","6763","1830","1","123","18.45","2008-01-04T01:01:43.000"
"214","91545","104467","2139","2105","6763","1830","4","104","15.6","2008-01-04T10:08:46.000"
"215","91986","104975","43445","1931","4875","1830","3","435","65.25","2008-01-04T06:01:30.000"
"216","94954","108396","44469","2383","3598","1830","1","465","69.75","2008-01-04T03:21:44.000"
"217","100648","115084","17029","1298","1981","1830","4","668","100.2","2008-01-04T06:11:18.000"
"218","102229","116927","19605","2225","5218","1830","1","167","25.05","2008-01-04T08:46:53.000"
"219","132955","153571","100","2452","5479","1830","1","487","73.05","2008-01-04T09:32:38.000"
"220","121537","139133","28983","3027","5346","1830","4","1668","250.2","2008-01-04T06:22:59.000"
"221","134569","155523","24429","1007","2609","1830","1","291","43.65","2008-01-04T03:45:38.000"
"222","137183","158459","4413","817","3709","1830","4","824","123.6","2008-01-04T03:56:29.000"
"223","161305","214315","14700","2740","7074","1830","2","3346","501.9","2008-01-04T09:40:07.000"
"224","138456","159945","23082","1807","6807","1830","2","316","47.4","2008-01-04T04:20:08.000"
"225","169101","229103","34506","13","2683","1830","2","1334","200.1","2008-01-04T04:46:38.000"
"226","138693","160244","4173","1754","2823","1830","4","1288","193.2","2008-01-04T08:46:34.000"
"227","169466","229740","45914","1354","5042","1830","1","1193","178.95","2008-01-04T12:07:04.000"
"228","171909","234479","32843","2488","913","1830","2","2758","413.7","2008-01-04T02:06:51.000"
"229","171520","233786","33017","1494","3094","1830","2","3158","473.7","2008-01-04T01:52:24.000"
"230","5152","5534","17090","1424","1963","1830","4","856","128.4","2008-01-04T09:58:29.000"
"231","23078","25137","22180","2582","5813","1830","2","402","60.3","2008-01-04T10:50:43.000"
"232","27056","29503","34972","1232","5554","1830","2","196","29.4","2008-01-04T03:08:30.000"
"233","35192","39026","45532","1291","920","1830","1","223","33.45","2008-01-04T12:38:37.000"
"234","35885","39906","9866","2750","2483","1830","1","190","28.5","2008-01-04T02:30:04.000"
"235","56324","63591","30452","2340","4003","1830","2","944","141.6","2008-01-04T12:34:31.000"
"236","69381","78930","49666","1595","5338","1830","2","46","6.9","2008-01-04T08:47:40.000"
"237","94790","108217","27646","159","4381","1830","1","329","49.35","2008-01-04T12:00:41.000"
"238","100521","114925","27151","105","8115","1830","1","289","43.35","2008-01-04T03:01:51.000"
"239","107998","123586","23712","1662","1069","1830","1","74","11.1","2008-01-04T11:59:32.000"
"240","108541","124253","16778","2984","3700","1830","1","74","11.1","2008-01-04T08:18:14.000"
"241","110012","125988","12163","2596","4635","1830","1","95","14.25","2008-01-04T10:16:59.000"
"242","128422","147210","39160","544","5786","1830","3","726","108.9","2008-01-04T03:54:25.000"
"243","134483","155449","34150","1089","3315","1830","4","200","30","2008-01-04T02:15:20.000"
"244","151290","175131","30665","2325","3535","1830","1","375","56.25","2008-01-04T10:42:43.000"
"245","152039","175955","13858","3071","2600","1830","4","1716","257.4","2008-01-04T01:33:48.000"
"246","164755","220756","4787","1789","1736","1830","4","9460","1419","2008-01-04T03:42:39.000"
"247","169147","229188","16787","202","3713","1830","1","1327","199.05","2008-01-04T05:51:07.000"
"248","11100","12046","29859","97","8182","1831","2","418","62.7","2008-01-05T05:26:46.000"
"249","5346","5761","10838","2372","2111","1831","2","500","75","2008-01-05T04:43:09.000"
"250","19718","21354","37947","283","3776","1831","2","418","62.7","2008-01-05T08:11:59.000"
"251","33674","37235","14844","1832","8547","1831","4","860","129","2008-01-05T08:37:27.000"
"252","27364","29835","31894","2819","4325","1831","1","92","13.8","2008-01-05T08:49:40.000"
"253","40429","45223","44036","2012","6807","1831","1","213","31.95","2008-01-05T07:48:00.000"
"254","40196","44927","32034","477","5931","1831","4","432","64.8","2008-01-05T03:41:37.000"
"255","50877","57387","37390","572","8538","1831","1","233","34.95","2008-01-05T01:56:15.000"
"256","50084","56553","23982","3808","1104","1831","1","245","36.75","2008-01-05T11:32:27.000"
"257","60724","68779","37824","1850","7626","1831","1","487","73.05","2008-01-05T03:23:28.000"
"258","61385","69531","15548","4109","2347","1831","4","620","93","2008-01-05T03:47:41.000"
"259","64513","73116","11267","2433","8238","1831","2","600","90","2008-01-05T05:45:56.000"
"260","64675","73305","46236","2918","8345","1831","2","192","28.8","2008-01-05T05:52:15.000"
"261","72759","82994","23819","3182","8197","1831","1","142","21.3","2008-01-05T10:53:21.000"
"262","70371","80016","35807","3095","2469","1831","2","500","75","2008-01-05T09:24:40.000"
"263","77634","88657","32700","2639","6269","1831","1","453","67.95","2008-01-05T04:31:51.000"
"264","70539","80220","49489","3111","878","1831","2","898","134.7","2008-01-05T09:30:44.000"
"265","98635","112706","38994","2530","3772","1831","2","592","88.8","2008-01-05T08:21:51.000"
"266","75254","85909","46978","3711","2491","1831","2","50","7.5","2008-01-05T12:27:12.000"
"267","98877","113010","29430","4068","4763","1831","2","198","29.7","2008-01-05T01:34:56.000"
"268","77100","88090","20735","3515","5863","1831","2","674","101.1","2008-01-05T06:23:57.000"
"269","98939","113092","2473","1050","6609","1831","1","175","26.25","2008-01-05T02:50:29.000"
"270","92180","105187","16607","3054","8494","1831","2","412","61.8","2008-01-05T09:40:53.000"
"271","120007","137401","14427","2321","613","1831","4","220","33","2008-01-05T07:55:32.000"
"272","107288","122792","29133","258","5092","1831","1","210","31.5","2008-01-05T09:56:48.000"
"273","126132","144439","37349","1213","8157","1831","1","308","46.2","2008-01-05T01:22:04.000"
"274","109492","125393","27935","1751","3494","1831","3","1044","156.6","2008-01-05T11:09:23.000"
"275","128421","147210","39160","1553","5786","1831","2","484","72.6","2008-01-05T03:52:32.000"
"276","126319","144683","3754","829","8580","1831","4","244","36.6","2008-01-05T05:27:28.000"
"277","141650","163854","8059","977","5676","1831","2","242","36.3","2008-01-05T05:58:12.000"
"278","126321","144683","3754","222","8580","1831","2","122","18.3","2008-01-05T05:28:47.000"
"279","144910","167744","6665","2149","2725","1831","3","1419","212.85","2008-01-05T08:08:14.000"
"280","141128","163189","12773","3209","4342","1831","3","528","79.2","2008-01-05T08:27:34.000"
"281","159323","210655","27686","2659","1469","1831","2","1132","169.8","2008-01-05T07:10:17.000"
"282","146550","169740","36791","3910","2781","1831","2","818","122.7","2008-01-05T03:20:00.000"
"283","21286","23218","40003","2100","3724","1831","4","352","52.8","2008-01-05T01:39:59.000"
"284","31329","34539","709","207","7143","1831","2","542","81.3","2008-01-05T12:19:08.000"
"285","36895","41081","42927","2020","4100","1831","2","126","18.9","2008-01-05T11:13:42.000"
"286","43135","48441","9149","1405","281","1831","2","544","81.6","2008-01-05T09:48:31.000"
"287","45691","51425","32371","4074","5112","1831","2","448","67.2","2008-01-05T10:12:22.000"
"288","49845","56291","35657","684","4345","1831","2","622","93.3","2008-01-05T07:14:08.000"
"289","51709","58362","39418","3324","8092","1831","2","136","20.4","2008-01-05T05:55:12.000"
"290","64654","73287","26854","2961","6448","1831","3","225","33.75","2008-01-05T05:51:25.000"
"291","72170","82269","34091","1689","8064","1831","2","762","114.3","2008-01-05T10:31:27.000"
"292","75805","86576","34708","1921","5497","1831","2","80","12","2008-01-05T12:47:54.000"
"293","84282","96154","51","1963","6286","1831","4","1992","298.8","2008-01-05T01:57:21.000"
"294","85703","97837","8025","2154","6207","1831","2","328","49.2","2008-01-05T06:10:09.000"
"295","97076","110804","27541","2340","2202","1831","2","948","142.2","2008-01-05T12:23:28.000"
"296","101001","115496","13097","3716","8618","1831","3","765","114.75","2008-01-05T02:38:45.000"
"297","105553","120806","34723","872","6526","1831","4","1416","212.4","2008-01-05T03:45:29.000"
"298","109552","125455","39709","2181","1269","1831","1","353","52.95","2008-01-05T01:35:41.000"
"299","123230","141078","49730","328","4316","1831","4","284","42.6","2008-01-05T02:01:24.000"
"300","126965","145438","2393","3725","2088","1831","2","640","96","2008-01-05T07:36:52.000"
"301","167778","226562","33040","3312","4991","1831","2","4994","749.1","2008-01-05T01:35:40.000"
"302","8324","8942","23600","4471","2557","1832","1","105","15.75","2008-01-06T05:26:39.000"
"303","22196","24088","29454","3194","6712","1832","2","310","46.5","2008-01-06T06:52:46.000"
"304","31915","35258","45960","3023","7686","1832","1","248","37.2","2008-01-06T11:31:16.000"
"305","40988","45879","18749","1526","7872","1832","1","214","32.1","2008-01-06T05:52:25.000"
"306","70148","79760","23120","3341","7561","1832","1","339","50.85","2008-01-06T09:15:56.000"
"307","49788","56200","24834","569","999","1832","3","594","89.1","2008-01-06T06:05:38.000"
"308","73479","83838","26860","2819","6482","1832","2","878","131.7","2008-01-06T11:19:47.000"
"309","54852","61804","32256","592","2221","1832","2","116","17.4","2008-01-06T06:05:29.000"
"310","80215","91596","3101","2438","5228","1832","1","424","63.6","2008-01-06T05:20:53.000"
