"index","listid","sellerid","eventid","dateid","numtickets","priceperticket","totalprice","listtime"
"30","27121","8212","5557","1827","3","218","654","2008-01-01T09:58:17.000"
"31","21432","23102","4933","1827","22","61","1342","2008-01-01T06:33:36.000"
"32","27185","47697","3766","1827","12","24","288","2008-01-01T03:49:00.000"
"33","21522","49440","1068","1827","26","60","1560","2008-01-01T06:43:06.000"
"34","28364","1722","7941","1827","30","86","2580","2008-01-01T09:23:24.000"
"35","24165","35786","2163","1827","12","54","648","2008-01-01T05:20:58.000"
"36","30509","27490","5724","1827","8","291","2328","2008-01-01T12:57:00.000"
"37","24830","29837","2668","1827","5","55","275","2008-01-01T12:17:02.000"
"38","38308","43140","4244","1827","6","121","726","2008-01-01T09:13:24.000"
"39","26748","10481","3139","1827","30","118","3540","2008-01-01T12:46:51.000"
"40","42391","23236","2436","1827","1","260","260","2008-01-01T05:36:51.000"
"41","29402","5023","6941","1827","4","121","484","2008-01-01T02:43:35.000"
"42","47551","31771","5106","1827","16","32","512","2008-01-01T09:58:38.000"
"43","30594","39037","6519","1827","5","29","145","2008-01-01T02:10:31.000"
"44","51022","41195","1529","1827","12","244","2928","2008-01-01T11:29:24.000"
"45","42087","10535","4306","1827","20","326","6520","2008-01-01T02:52:09.000"
"46","51982","3438","7605","1827","10","260","2600","2008-01-01T10:11:14.000"
"47","42556","49990","3502","1827","6","196","1176","2008-01-01T02:48:49.000"
"48","56339","30792","3446","1827","2","206","412","2008-01-01T05:39:13.000"
"49","43011","33440","5106","1827","18","24","432","2008-01-01T03:44:52.000"
"50","57298","42212","4226","1827","10","283","2830","2008-01-01T09:29:38.000"
"51","44977","12967","1350","1827","14","177","2478","2008-01-01T05:32:21.000"
"52","57632","11020","1736","1827","20","117","2340","2008-01-01T08:21:25.000"
"53","48226","20375","7537","1827","3","183","549","2008-01-01T08:08:56.000"
"54","57719","15373","7710","1827","14","151","2114","2008-01-01T10:11:18.000"
"55","51210","41218","3061","1827","18","161","2898","2008-01-01T04:59:40.000"
"56","58010","20626","2787","1827","6","265","1590","2008-01-01T08:15:28.000"
"57","51785","11342","5658","1827","18","67","1206","2008-01-01T03:32:07.000"
"58","58050","21335","5644","1827","22","239","5258","2008-01-01T06:48:49.000"
"59","52526","44919","5724","1827","18","317","5706","2008-01-01T05:14:16.000"
"60","65068","36163","497","1827","9","454","4086","2008-01-01T07:18:08.000"
"61","55066","7222","5814","1827","16","124","1984","2008-01-01T11:30:36.000"
"62","66507","4192","1720","1827","14","498","6972","2008-01-01T06:25:02.000"
"63","59687","9103","3973","1827","8","325","2600","2008-01-01T08:33:09.000"
"64","71615","4867","785","1827","9","444","3996","2008-01-01T09:23:06.000"
"65","60678","35363","5817","1827","2","198","396","2008-01-01T05:24:01.000"
"66","71902","4347","7717","1827","2","482","964","2008-01-01T09:22:42.000"
"67","61307","46040","4973","1827","9","218","1962","2008-01-01T02:52:59.000"
"68","73626","17775","4615","1827","3","44","132","2008-01-01T12:49:36.000"
"69","62173","48934","4373","1827","6","413","2478","2008-01-01T01:14:40.000"
"70","74513","33451","2266","1827","7","365","2555","2008-01-01T01:39:28.000"
"71","64037","80","4088","1827","3","81","243","2008-01-01T03:48:51.000"
"72","75066","32190","8069","1827","18","96","1728","2008-01-01T10:26:24.000"
"73","66290","14306","8083","1827","22","21","462","2008-01-01T01:18:03.000"
"74","75982","23521","4617","1827","18","330","5940","2008-01-01T10:10:03.000"
"75","66526","9812","8541","1827","8","498","3984","2008-01-01T03:38:08.000"
"76","78641","48012","2505","1827","6","453","2718","2008-01-01T05:24:54.000"
"77","70938","37709","1150","1827","18","98","1764","2008-01-01T11:59:54.000"
"78","82435","17277","234","1827","2","205","410","2008-01-01T04:25:22.000"
"79","73894","9800","3002","1827","16","262","4192","2008-01-01T02:15:31.000"
"80","85060","20307","6786","1827","2","312","624","2008-01-01T11:17:32.000"
"81","74005","45961","146","1827","1","331","331","2008-01-01T08:22:44.000"
"82","89167","35894","641","1827","2","37","74","2008-01-01T05:52:35.000"
"83","74860","2681","6499","1827","3","251","753","2008-01-01T02:44:47.000"
"84","89902","39776","3792","1827","2","499","998","2008-01-01T02:55:02.000"
"85","76203","9898","7514","1827","10","156","1560","2008-01-01T11:20:08.000"
"86","91440","25496","6481","1827","5","381","1905","2008-01-01T03:19:28.000"
"87","78038","25746","8207","1827","12","492","5904","2008-01-01T06:25:51.000"
"88","101265","28464","8524","1827","2","404","808","2008-01-01T08:22:56.000"
"89","82279","34162","8582","1827","10","363","3630","2008-01-01T10:12:53.000"
"90","101781","1090","59","1827","12","183","2196","2008-01-01T12:04:30.000"
"91","82992","11813","1189","1827","5","70","350","2008-01-01T06:09:32.000"
"92","102227","40435","5697","1827","9","93","837","2008-01-01T09:30:41.000"
"93","85164","36451","7735","1827","20","378","7560","2008-01-01T11:51:08.000"
"94","109434","42379","6973","1827","18","103","1854","2008-01-01T10:51:55.000"
"95","86005","11470","654","1827","8","56","448","2008-01-01T12:13:49.000"
"96","110942","43282","7003","1827","4","354","1416","2008-01-01T06:20:18.000"
"97","87225","8039","4077","1827","4","150","600","2008-01-01T09:45:27.000"
"98","111755","2545","6286","1827","3","382","1146","2008-01-01T11:30:57.000"
"99","87685","13054","2472","1827","1","484","484","2008-01-01T05:15:37.000"
"100","112895","10126","287","1827","1","177","177","2008-01-01T03:03:53.000"
"101","91471","14147","2606","1827","10","42","420","2008-01-01T03:02:56.000"
"102","117572","29895","7285","1827","2","431","862","2008-01-01T11:03:16.000"
"103","93086","28512","3286","1827","9","47","423","2008-01-01T04:16:58.000"
"104","119804","11560","2922","1827","8","377","3016","2008-01-01T07:19:23.000"
"105","93233","16056","3383","1827","3","310","930","2008-01-01T05:54:02.000"
"106","123668","593","2787","1827","12","71","852","2008-01-01T10:07:43.000"
"107","94792","19126","2596","1827","3","466","1398","2008-01-01T11:33:18.000"
"108","124273","11876","4342","1827","16","227","3632","2008-01-01T08:45:38.000"
"109","96861","45073","8509","1827","22","177","3894","2008-01-01T11:00:12.000"
"110","128555","36781","7886","1827","20","321","6420","2008-01-01T06:53:03.000"
"111","97789","20764","5554","1827","20","53","1060","2008-01-01T11:51:01.000"
"112","129068","45179","3698","1827","20","354","7080","2008-01-01T09:06:03.000"
"113","99524","38827","5554","1827","1","316","316","2008-01-01T07:03:00.000"
"114","129637","10645","7703","1827","20","214","4280","2008-01-01T12:32:07.000"
"115","100436","3532","2403","1827","12","198","2376","2008-01-01T09:52:21.000"
"116","132645","43605","2589","1827","14","415","5810","2008-01-01T03:41:04.000"
"117","102406","17569","206","1827","6","358","2148","2008-01-01T08:07:42.000"
"118","133155","2812","8390","1827","5","209","1045","2008-01-01T02:21:32.000"
"119","103598","25627","6163","1827","14","309","4326","2008-01-01T05:37:44.000"
"120","135080","2271","2124","1827","20","196","3920","2008-01-01T03:00:56.000"
"121","105038","10410","2533","1827","16","332","5312","2008-01-01T05:56:04.000"
"122","138096","18828","7492","1827","6","404","2424","2008-01-01T09:52:38.000"
"123","105786","42166","6071","1827","6","89","534","2008-01-01T03:51:57.000"
"124","140969","18088","7358","1827","3","51","153","2008-01-01T02:26:40.000"
"125","105835","45721","3094","1827","14","431","6034","2008-01-01T01:35:57.000"
"126","148531","12660","4564","1827","14","408","5712","2008-01-01T07:16:17.000"
"127","111985","9939","2512","1827","6","281","1686","2008-01-01T04:30:23.000"
"128","148955","9677","4595","1827","10","278","2780","2008-01-01T09:31:45.000"
"129","112471","33657","2618","1827","1","269","269","2008-01-01T12:13:22.000"
"130","151607","4065","3281","1827","1","417","417","2008-01-01T07:06:07.000"
"131","119041","28350","5560","1827","14","471","6594","2008-01-01T06:02:10.000"
"132","152157","43204","6159","1827","14","52","728","2008-01-01T10:25:42.000"
"133","119397","21035","1236","1827","1","335","335","2008-01-01T06:27:42.000"
"134","153014","40515","4555","1827","6","316","1896","2008-01-01T12:34:03.000"
"135","119759","21691","985","1827","14","248","3472","2008-01-01T05:57:57.000"
"136","154001","1307","6200","1827","2","496","992","2008-01-01T01:50:09.000"
"137","119836","7688","3544","1827","3","238","714","2008-01-01T12:31:18.000"
"138","154999","46581","6904","1827","20","351","7020","2008-01-01T03:56:14.000"
"139","120735","29610","3862","1827","24","372","8928","2008-01-01T08:02:34.000"
"140","157290","3924","4648","1827","1","170","170","2008-01-01T07:52:58.000"
"141","124037","19586","801","1827","12","404","4848","2008-01-01T08:26:00.000"
"142","158383","16187","691","1827","16","231","3696","2008-01-01T02:57:22.000"
"143","126347","6955","6213","1827","20","347","6940","2008-01-01T03:14:41.000"
"144","158713","27660","5606","1827","20","122","2440","2008-01-01T03:51:36.000"
"145","129612","11227","5955","1827","12","202","2424","2008-01-01T02:21:41.000"
"146","162084","4547","7152","1827","24","341","8184","2008-01-01T11:54:46.000"
"147","130880","32868","1470","1827","20","314","6280","2008-01-01T09:05:54.000"
"148","162201","35868","1348","1827","24","121","2904","2008-01-01T09:39:26.000"
"149","130911","27062","1246","1827","8","464","3712","2008-01-01T04:10:32.000"
"150","165001","2787","5228","1827","6","24","144","2008-01-01T04:03:48.000"
"151","134054","29302","7462","1827","22","248","5456","2008-01-01T06:17:45.000"
"152","166176","48494","3687","1827","2","457","914","2008-01-01T04:12:37.000"
"153","134664","21024","5841","1827","4","386","1544","2008-01-01T12:50:57.000"
"154","166344","31286","7593","1827","24","287","6888","2008-01-01T09:26:07.000"
"155","135369","12722","89","1827","22","263","5786","2008-01-01T12:11:17.000"
"156","167234","14265","3321","1827","5","183","915","2008-01-01T04:53:54.000"
"157","135498","19467","2932","1827","7","168","1176","2008-01-01T09:16:27.000"
"158","168790","49358","1096","1827","12","174","2088","2008-01-01T11:07:18.000"
"159","137332","40131","6152","1827","10","214","2140","2008-01-01T03:03:46.000"
"160","170814","46916","8325","1827","18","408","7344","2008-01-01T05:23:08.000"
"161","139966","11469","5511","1827","16","409","6544","2008-01-01T11:03:24.000"
"162","171574","48701","2618","1827","1","187","187","2008-01-01T01:03:21.000"
"163","141852","10543","5517","1827","2","164","328","2008-01-01T01:36:15.000"
"164","174296","13299","2099","1827","5","109","545","2008-01-01T02:27:47.000"
"165","142517","22834","8737","1827","12","391","4692","2008-01-01T09:49:14.000"
"166","177726","33216","6753","1827","16","226","3616","2008-01-01T12:54:47.000"
"167","145736","21306","8725","1827","3","315","945","2008-01-01T02:26:21.000"
"168","180004","13646","464","1827","4","429","1716","2008-01-01T12:50:05.000"
"169","149614","13533","3293","1827","9","145","1305","2008-01-01T05:35:21.000"
"170","205962","42580","7672","1827","2","1937","3874","2008-01-01T09:52:54.000"
"171","152355","27265","6849","1827","18","317","5706","2008-01-01T05:53:14.000"
"172","214103","37047","6364","1827","6","1783","10698","2008-01-01T06:22:32.000"
"173","153679","90","2260","1827","14","349","4886","2008-01-01T11:59:46.000"
"174","215069","31888","1281","1827","3","1678","5034","2008-01-01T10:49:47.000"
"175","155619","39397","7335","1827","12","316","3792","2008-01-01T01:33:16.000"
"176","220591","4783","7965","1827","4","2035","8140","2008-01-01T04:45:49.000"
"177","159553","8856","2099","1827","2","415","830","2008-01-01T01:03:17.000"
"178","222879","2186","6870","1827","6","2096","12576","2008-01-01T09:23:23.000"
"179","164440","37856","2017","1827","6","123","738","2008-01-01T01:18:50.000"
"180","225684","21555","6721","1827","7","2050","14350","2008-01-01T06:43:36.000"
"181","164525","48217","3820","1827","2","241","482","2008-01-01T03:52:56.000"
"182","227210","16709","50","1827","7","1052","7364","2008-01-01T01:28:42.000"
"183","165727","46289","2541","1827","2","138","276","2008-01-01T09:59:11.000"
"184","231833","18850","834","1827","3","1801","5403","2008-01-01T03:00:02.000"
"185","2092","42560","8609","1827","22","194","4268","2008-01-01T05:49:06.000"
"186","614","25339","770","1827","10","236","2360","2008-01-01T05:07:30.000"
"187","9242","31448","7441","1827","14","88","1232","2008-01-01T02:39:54.000"
"188","776","20797","1811","1827","18","133","2394","2008-01-01T06:59:39.000"
"189","9730","8250","2772","1827","20","146","2920","2008-01-01T09:46:40.000"
"190","6635","30023","2426","1827","8","50","400","2008-01-01T07:09:40.000"
"191","11176","39919","5362","1827","12","107","1284","2008-01-01T10:18:43.000"
"192","7786","47561","117","1827","6","124","744","2008-01-01T02:12:34.000"
"193","11615","15795","5157","1827","4","221","884","2008-01-01T06:02:18.000"
"194","10654","32327","3173","1827","22","104","2288","2008-01-01T02:14:21.000"
"195","14295","13373","2088","1827","7","141","987","2008-01-01T11:25:39.000"
"196","11393","39543","7430","1827","16","164","2624","2008-01-01T10:32:08.000"
"197","14752","39605","1808","1827","1","233","233","2008-01-01T07:51:56.000"
"198","14613","40155","5515","1827","6","109","654","2008-01-01T03:23:16.000"
"199","18088","43964","6508","1827","9","131","1179","2008-01-01T08:41:47.000"
"200","19372","14767","5110","1827","26","196","5096","2008-01-01T02:20:04.000"
"201","18250","49317","6972","1827","28","201","5628","2008-01-01T06:47:26.000"
"202","25137","22180","5813","1827","20","201","4020","2008-01-01T08:31:01.000"
"203","21753","13808","7460","1827","8","151","1208","2008-01-01T07:50:58.000"
"204","25844","31966","8115","1827","7","114","798","2008-01-01T11:33:44.000"
"205","23135","9048","5414","1827","2","64","128","2008-01-01T06:24:13.000"
"206","25957","23943","5814","1827","28","132","3696","2008-01-01T07:26:12.000"
"207","27899","45200","5414","1827","2","63","126","2008-01-01T02:40:12.000"
"208","30042","26014","7923","1827","6","245","1470","2008-01-01T08:15:54.000"
"209","30987","7459","7095","1827","1","291","291","2008-01-01T08:11:05.000"
"210","30480","17947","6200","1827","26","194","5044","2008-01-01T12:55:57.000"
"211","31790","42720","8239","1827","14","54","756","2008-01-01T07:52:27.000"
"212","31077","10514","529","1827","14","305","4270","2008-01-01T01:29:59.000"
"213","33644","7841","1242","1827","2","219","438","2008-01-01T06:50:53.000"
"214","31647","25522","1821","1827","14","285","3990","2008-01-01T05:54:36.000"
"215","35331","21125","6262","1827","3","61","183","2008-01-01T07:25:11.000"
"216","34838","17966","6749","1827","18","305","5490","2008-01-01T11:22:44.000"
"217","35426","40753","6024","1827","18","147","2646","2008-01-01T05:36:11.000"
"218","35544","40607","4734","1827","18","303","5454","2008-01-01T08:02:09.000"
"219","36572","30047","2903","1827","22","117","2574","2008-01-01T03:54:09.000"
"220","37400","48677","4671","1827","5","329","1645","2008-01-01T05:54:52.000"
"221","37483","38521","1413","1827","12","274","3288","2008-01-01T09:14:33.000"
"222","38195","27791","985","1827","22","26","572","2008-01-01T06:10:36.000"
"223","40132","27297","4078","1827","14","93","1302","2008-01-01T07:07:49.000"
"224","38864","26088","3313","1827","24","259","6216","2008-01-01T08:34:54.000"
"225","44216","9332","4476","1827","1","115","115","2008-01-01T06:23:13.000"
"226","39906","9866","2483","1827","14","190","2660","2008-01-01T09:21:13.000"
"227","45435","46960","1538","1827","24","185","4440","2008-01-01T11:34:30.000"
"228","41072","47324","7570","1827","18","273","4914","2008-01-01T10:32:16.000"
"229","51425","32371","5112","1827","10","224","2240","2008-01-01T07:03:18.000"
"230","43884","7362","4159","1827","7","338","2366","2008-01-01T11:35:09.000"
"231","56766","25043","3717","1827","24","96","2304","2008-01-01T11:26:39.000"
"232","45102","13005","1756","1827","18","29","522","2008-01-01T03:53:47.000"
"233","57663","1985","2874","1827","12","181","2172","2008-01-01T05:24:04.000"
"234","50346","35360","559","1827","6","63","378","2008-01-01T08:16:29.000"
"235","61348","34639","7598","1827","5","306","1530","2008-01-01T03:28:41.000"
"236","51890","10199","5739","1827","16","266","4256","2008-01-01T07:01:36.000"
"237","63056","9834","7074","1827","5","23","115","2008-01-01T01:31:07.000"
"238","53218","6426","7076","1827","14","77","1078","2008-01-01T01:46:41.000"
"239","63757","16250","3879","1827","10","298","2980","2008-01-01T07:42:03.000"
"240","56250","44499","5254","1827","2","166","332","2008-01-01T01:25:31.000"
"241","67136","11656","5465","1827","18","152","2736","2008-01-01T03:27:22.000"
"242","56597","46941","8603","1827","8","148","1184","2008-01-01T02:43:22.000"
"243","68545","32961","7258","1827","5","144","720","2008-01-01T10:28:25.000"
"244","56899","32337","4654","1827","7","32","224","2008-01-01T10:04:40.000"
"245","71268","9999","4607","1827","6","157","942","2008-01-01T06:17:50.000"
"246","57351","12951","4244","1827","14","258","3612","2008-01-01T02:57:00.000"
"247","74337","30505","6179","1827","2","100","200","2008-01-01T12:59:45.000"
"248","59354","43282","6763","1827","20","344","6880","2008-01-01T09:56:14.000"
"249","74899","13589","6609","1827","6","204","1224","2008-01-01T05:35:54.000"
"250","59448","38115","7819","1827","14","431","6034","2008-01-01T10:50:43.000"
"251","82128","17568","3223","1827","24","168","4032","2008-01-01T02:47:34.000"
"252","63906","49669","977","1827","8","43","344","2008-01-01T04:27:09.000"
"253","85389","24659","8285","1827","3","321","963","2008-01-01T08:27:39.000"
"254","63915","44425","4091","1827","6","335","2010","2008-01-01T05:40:18.000"
"255","85578","27403","1297","1827","18","172","3096","2008-01-01T01:54:50.000"
"256","65961","48243","4389","1827","22","343","7546","2008-01-01T07:10:45.000"
"257","86391","45374","1317","1827","12","208","2496","2008-01-01T01:46:37.000"
"258","74063","15856","2477","1827","8","53","424","2008-01-01T09:20:00.000"
"259","88572","35677","3025","1827","10","455","4550","2008-01-01T01:07:02.000"
"260","76429","9038","3754","1827","24","62","1488","2008-01-01T09:24:16.000"
"261","89070","10105","1637","1827","2","469","938","2008-01-01T03:41:18.000"
"262","76845","48084","7884","1827","24","460","11040","2008-01-01T02:06:24.000"
"263","91822","8896","8791","1827","9","187","1683","2008-01-01T08:43:41.000"
"264","77837","6256","3677","1827","2","173","346","2008-01-01T03:06:06.000"
"265","94434","32138","7430","1827","1","134","134","2008-01-01T04:39:54.000"
"266","78905","29515","5457","1827","8","295","2360","2008-01-01T09:58:30.000"
"267","96607","42729","5619","1827","6","291","1746","2008-01-01T07:31:36.000"
"268","82361","16790","3792","1827","14","371","5194","2008-01-01T01:20:26.000"
"269","97320","16392","7990","1827","6","164","984","2008-01-01T04:29:47.000"
"270","82814","1399","7598","1827","12","363","4356","2008-01-01T10:11:35.000"
"271","101117","45391","8429","1827","1","240","240","2008-01-01T03:51:50.000"
"272","82839","25027","2510","1827","10","296","2960","2008-01-01T07:47:37.000"
"273","103953","23374","8659","1827","14","217","3038","2008-01-01T10:12:57.000"
"274","83503","45940","7469","1827","14","32","448","2008-01-01T12:14:28.000"
"275","104088","1580","7997","1827","4","458","1832","2008-01-01T09:57:43.000"
"276","83516","10571","6368","1827","5","227","1135","2008-01-01T10:15:45.000"
"277","104922","31484","6977","1827","7","71","497","2008-01-01T07:06:27.000"
"278","85047","17888","6739","1827","4","116","464","2008-01-01T05:55:57.000"
"279","105380","31765","1221","1827","12","31","372","2008-01-01T03:45:04.000"
"280","86956","6313","4731","1827","2","83","166","2008-01-01T04:07:20.000"
"281","105898","33212","7332","1827","1","256","256","2008-01-01T10:36:07.000"
"282","89786","19102","7476","1827","18","354","6372","2008-01-01T02:42:47.000"
"283","114948","6324","5300","1827","18","223","4014","2008-01-01T09:30:14.000"
"284","89840","1140","5457","1827","1","40","40","2008-01-01T10:42:12.000"
"285","115496","13097","8618","1827","22","255","5610","2008-01-01T07:08:43.000"
"286","92084","27159","6032","1827","6","213","1278","2008-01-01T01:13:58.000"
"287","121610","3709","3915","1827","7","99","693","2008-01-01T12:09:40.000"
"288","93152","44628","1726","1827","22","103","2266","2008-01-01T10:41:11.000"
"289","122490","17362","7517","1827","16","343","5488","2008-01-01T12:24:47.000"
"290","95720","9049","508","1827","10","299","2990","2008-01-01T08:00:55.000"
"291","126927","39347","6442","1827","3","409","1227","2008-01-01T02:24:48.000"
"292","97571","1396","2698","1827","20","73","1460","2008-01-01T05:14:38.000"
"293","127171","37151","3919","1827","3","129","387","2008-01-01T06:41:06.000"
"294","98281","18554","4221","1827","7","419","2933","2008-01-01T03:10:49.000"
"295","133113","10825","3718","1827","24","74","1776","2008-01-01T11:57:05.000"
"296","99101","40805","4837","1827","16","188","3008","2008-01-01T04:53:26.000"
"297","135091","80","5042","1827","2","426","852","2008-01-01T04:25:11.000"
"298","99804","15460","1068","1827","9","77","693","2008-01-01T02:59:31.000"
"299","136160","3991","2557","1827","12","70","840","2008-01-01T02:39:30.000"
"300","100615","7658","785","1827","4","47","188","2008-01-01T11:20:40.000"
"301","139133","28983","5346","1827","22","417","9174","2008-01-01T05:48:51.000"
"302","102777","42338","8663","1827","6","57","342","2008-01-01T09:15:59.000"
"303","140757","25758","8239","1827","1","60","60","2008-01-01T02:58:52.000"
"304","108371","16568","8337","1827","14","415","5810","2008-01-01T12:48:59.000"
"305","143557","28183","2000","1827","20","239","4780","2008-01-01T06:13:55.000"
"306","109649","19012","3633","1827","18","130","2340","2008-01-01T06:47:40.000"
"307","145438","2393","2088","1827","6","320","1920","2008-01-01T11:44:14.000"
"308","111025","34583","2352","1827","12","371","4452","2008-01-01T02:34:23.000"
"309","147273","25956","6513","1827","10","254","2540","2008-01-01T12:34:27.000"
"310","113010","29430","4763","1827","18","99","1782","2008-01-01T01:48:06.000"
"311","151640","17725","1050","1827","1","177","177","2008-01-01T08:42:09.000"
"312","115266","5789","2390","1827","1","484","484","2008-01-01T06:26:44.000"
"313","152022","1882","5071","1827","14","482","6748","2008-01-01T07:46:24.000"
"314","118927","6725","7024","1827","6","199","1194","2008-01-01T04:36:52.000"
"315","153921","24983","7492","1827","10","60","600","2008-01-01T12:25:47.000"
"316","120074","30988","2978","1827","1","78","78","2008-01-01T10:56:33.000"
"317","159269","17471","1281","1827","18","491","8838","2008-01-01T01:15:54.000"
"318","123594","12516","6709","1827","18","312","5616","2008-01-01T01:42:11.000"
"319","160242","10042","6752","1827","5","101","505","2008-01-01T11:37:12.000"
"320","124253","16778","3700","1827","22","74","1628","2008-01-01T02:34:09.000"
"321","161066","27246","2286","1827","22","431","9482","2008-01-01T07:17:53.000"
"322","124813","45440","2751","1827","1","56","56","2008-01-01T04:30:36.000"
"323","161201","4904","2510","1827","18","144","2592","2008-01-01T12:59:26.000"
"324","125988","12163","4635","1827","8","95","760","2008-01-01T01:33:13.000"
"325","163092","27031","3496","1827","22","416","9152","2008-01-01T10:16:33.000"
"326","133505","13170","7593","1827","22","283","6226","2008-01-01T07:15:21.000"
"327","163587","35028","6788","1827","4","404","1616","2008-01-01T09:02:10.000"
"328","139574","18180","2491","1827","14","238","3332","2008-01-01T09:11:02.000"
"329","170003","40788","2043","1827","12","136","1632","2008-01-01T10:17:24.000"
"330","140742","49717","5624","1827","7","328","2296","2008-01-01T06:11:36.000"
"331","172717","3182","1883","1827","4","428","1712","2008-01-01T03:27:17.000"
"332","145153","24547","2959","1827","7","381","2667","2008-01-01T09:57:07.000"
"333","172869","21273","6868","1827","9","384","3456","2008-01-01T07:50:57.000"
"334","145592","34609","1905","1827","24","117","2808","2008-01-01T08:39:05.000"
"335","173519","12760","5080","1827","2","395","790","2008-01-01T07:41:38.000"
"336","146072","29225","785","1827","2","428","856","2008-01-01T01:33:01.000"
"337","173969","48680","8762","1827","16","344","5504","2008-01-01T10:01:08.000"
"338","146839","42967","1376","1827","24","93","2232","2008-01-01T12:37:20.000"
"339","177317","39720","7169","1827","2","59","118","2008-01-01T10:43:27.000"
"340","150174","49778","2774","1827","3","348","1044","2008-01-01T04:29:35.000"
"341","206999","3003","6605","1827","8","1730","13840","2008-01-01T04:01:44.000"
"342","152239","18022","1937","1827","4","106","424","2008-01-01T09:40:35.000"
"343","207132","239","1736","1827","7","2420","16940","2008-01-01T03:23:28.000"
"344","152484","20085","1038","1827","9","412","3708","2008-01-01T09:44:10.000"
"345","209848","28041","8238","1827","1","1175","1175","2008-01-01T05:00:24.000"
"346","153749","5090","3117","1827","2","173","346","2008-01-01T11:55:17.000"
"347","215278","34469","2037","1827","8","927","7416","2008-01-01T10:21:40.000"
"348","153835","49537","6649","1827","14","63","882","2008-01-01T11:17:16.000"
"349","216313","36423","3700","1827","8","617","4936","2008-01-01T07:37:26.000"
"350","157312","28154","2121","1827","3","207","621","2008-01-01T06:53:43.000"
"351","217571","47786","5254","1827","5","2338","11690","2008-01-01T11:42:13.000"
"352","160283","28599","6295","1827","9","187","1683","2008-01-01T12:33:09.000"
"353","219590","11445","4244","1827","5","2153","10765","2008-01-01T12:41:26.000"
"354","162198","16690","2606","1827","14","487","6818","2008-01-01T06:45:08.000"
"355","221293","26297","4791","1827","2","2400","4800","2008-01-01T04:41:29.000"
"356","162428","683","2360","1827","5","377","1885","2008-01-01T01:14:34.000"
"357","223648","30122","1937","1827","8","1219","9752","2008-01-01T11:50:16.000"
"358","162989","29998","2621","1827","22","108","2376","2008-01-01T10:40:38.000"
"359","224432","10376","5465","1827","8","1961","15688","2008-01-01T08:15:23.000"
"360","175373","17421","7443","1827","12","171","2052","2008-01-01T10:43:27.000"
"361","225722","20766","2932","1827","8","1889","15112","2008-01-01T07:22:50.000"
"362","175520","24567","1044","1827","16","249","3984","2008-01-01T12:57:56.000"
"363","229084","2545","6270","1827","3","1727","5181","2008-01-01T10:35:54.000"
"364","175955","13858","2600","1827","14","429","6006","2008-01-01T05:14:09.000"
"365","229637","15292","3753","1827","7","1066","7462","2008-01-01T11:19:52.000"
"366","178546","2073","2377","1827","8","432","3456","2008-01-01T04:31:04.000"
"367","230443","30345","2242","1827","2","1878","3756","2008-01-01T10:35:08.000"
"368","206280","14754","423","1827","2","823","1646","2008-01-01T06:38:45.000"
"369","233220","2529","8238","1827","2","1736","3472","2008-01-01T08:58:12.000"
